POINT_X,POINT_Y,RASTERVALU
-100.7157866,48.56124961,17.66874504
-100.5459043,48.56124961,17.6965332
-100.3760221,48.56124961,17.86265564
-100.2061399,48.56124961,18.06276321
-100.0362577,48.56124961,18.34102249
-99.86637547,48.56124961,18.70014
-99.69649325,48.56124961,19.14001656
-99.52661104,48.56124961,19.94283295
-99.35672882,48.56124961,20.56188011
-99.1868466,48.56124961,21.23430061
-99.01696439,48.56124961,21.94517899
-98.84708217,48.56124961,22.6777668
-98.67719995,48.56124961,23.4146328
-98.50731774,48.56124961,24.49134827
-98.33743552,48.56124961,25.1686058
-98.1675533,48.56124961,25.79964638
-97.99767109,48.56124961,26.37608719
-97.82778887,48.56124961,26.89263916
-97.65790666,48.56124961,27.55055809
-97.48802444,48.56124961,27.91199112
-97.31814222,48.56124961,28.21463203
-97.14826001,48.56124961,28.46237564
-96.97837779,48.56124961,28.65983391
-96.80849557,48.56124961,28.87255478
-96.63861336,48.56124961,28.96593285
-96.46873114,48.56124961,29.02602386
-96.29884892,48.56124961,29.05710411
-96.12896671,48.56124961,29.14914131
-95.95908449,48.56124961,29.14580917
-95.78920227,48.56124961,29.12513733
-95.61932006,48.56124961,29.0929203
-95.44943784,48.56124961,29.05146599
-95.27955562,48.56124961,29.00271797
-95.10967341,48.56124961,28.91941643
-94.93979119,48.56124961,28.85899925
-94.76990897,48.56124961,28.79591179
-94.60002676,48.56124961,28.7310257
-94.43014454,48.56124961,28.6650753
-94.26026232,48.56124961,28.59868813
-94.09038011,48.56124961,26.13802719
-93.92049789,48.56124961,25.93971825
-93.75061567,48.56124961,25.74376297
-93.58073346,48.56124961,25.55107307
-93.41085124,48.56124961,25.3624115
-93.24096902,48.56124961,25.08832741
-93.07108681,48.56124961,24.91222
-92.90120459,48.56124961,24.74178696
-92.73132237,48.56124961,24.57721329
-92.56144016,48.56124961,24.41857338
-92.39155794,48.56124961,24.19160652
-92.22167572,48.56124961,25.63359642
-92.05179351,48.56124961,25.49550819
-91.88191129,48.56124961,25.36243057
-91.71202907,48.56124961,25.2338028
-91.54214686,48.56124961,25.04770279
-91.37226464,48.56124961,24.92704773
-91.20238242,48.56124961,24.80808067
-91.03250021,48.56124961,24.68982124
-90.86261799,48.56124961,24.5712204
-90.69273577,48.56124961,24.39022255
-90.52285356,48.56124961,24.26579094
-90.35297134,48.56124961,24.13694191
-90.18308912,48.56124961,24.00246429
-90.01320691,48.56124961,23.86116791
-89.84332469,48.56124961,23.63393211
-89.67344247,48.56124961,23.47071266
-89.50356026,48.56124961,21.54181099
-89.33367804,48.56124961,21.38955879
-89.16379582,48.56124961,21.22861671
-88.99391361,48.56124961,19.77660942
-88.82403139,48.56124961,19.59957504
-88.65414917,48.56124961,19.46846771
-88.48426696,48.56124961,19.32766342
-88.31438474,48.56124961,19.1781292
-88.14450252,48.56124961,19.02112961
-87.97462031,48.56124961,18.77513123
-87.80473809,48.56124961,18.6069355
-87.63485587,48.56124961,20.01875305
-87.46497366,48.56124961,19.81695747
-87.29509144,48.56124961,19.62071037
-87.12520922,48.56124961,19.34428215
-86.95532701,48.56124961,19.17699432
-86.78544479,48.56124961,19.02715874
-86.61556257,48.56124961,18.89776993
-86.44568036,48.56124961,18.79140663
-86.27579814,48.56124961,18.8085556
-86.10591592,48.56124961,19.63853836
-85.93603371,48.56124961,19.60253525
-85.76615149,48.56124961,19.60000992
-85.59626927,48.56124961,19.6295681
-85.42638706,48.56124961,19.72957611
-85.25650484,48.56124961,19.82960701
-85.08662262,48.56124961,19.95289421
-84.91674041,48.56124961,20.09629059
-84.74685819,48.56124961,20.25658798
-84.57697597,48.56124961,20.52186012
-84.40709376,48.56124961,20.71092606
-84.23721154,48.56124961,20.90657997
-84.06732932,48.56124961,21.10638428
-83.89744711,48.56124961,21.30818558
-83.72756489,48.56124961,21.51011086
-83.55768267,48.56124961,21.80983925
-83.38780046,48.56124961,22.0057106
-83.21791824,48.56124961,22.19726753
-83.04803602,48.56124961,22.38376045
-82.87815381,48.56124961,23.99497223
-82.70827159,48.56124961,24.32159805
-82.53838937,48.56124961,22.4926281
-82.36850716,48.56124961,22.66334534
-82.19862494,48.56124961,30.41849136
-82.02874272,48.56124961,30.94186974
-81.85886051,48.56124961,31.72299385
-81.68897829,48.56124961,32.24118423
-81.51909607,48.56124961,32.75748062
-81.34921386,48.56124961,33.27206421
-81.17933164,48.56124961,33.78515244
-81.00944943,48.56124961,38.4659462
-80.83956721,48.56124961,35.90694046
-80.66968499,48.56124961,36.42606735
-80.49980278,48.56124961,36.93570328
-80.32992056,48.56124961,37.43587494
-80.16003834,48.56124961,38.16843033
-79.99015613,48.56124961,38.64504623
-79.82027391,48.56124961,39.11227417
-79.65039169,48.56124961,39.57011795
-79.48050948,48.56124961,40.01854324
-79.31062726,48.56124961,40.45750427
-79.14074504,48.56124961,41.09801483
-78.97086283,48.56124961,40.78250122
-78.80098061,48.56124961,41.17131042
-78.63109839,48.56124961,41.54870987
-78.46121618,48.56124961,41.91465759
-78.29133396,48.56124961,42.44192505
-78.12145174,48.56124961,42.77883148
-77.95156953,48.56124961,43.10387802
-77.78168731,48.56124961,43.41687775
-77.61180509,48.56124961,43.71762848
-77.44192288,48.56124961,44.14531708
-77.27204066,48.56124961,44.41448593
-77.10215844,48.56124961,46.26023102
-76.93227623,48.56124961,46.50305176
-76.76239401,48.56124961,48.71609497
-76.59251179,48.56124961,52.42552948
-76.42262958,48.56124961,52.50667953
-76.25274736,48.56124961,52.58124924
-76.08286514,48.56124961,52.64902878
-75.91298293,48.56124961,52.70984268
-75.74310071,48.56124961,52.78775787
-75.57321849,48.56124961,52.83074188
-75.40333628,48.56124961,52.8665657
-100.7157866,48.39136739,17.69598961
-100.5459043,48.39136739,17.72583389
-100.3760221,48.39136739,17.88944626
-100.2061399,48.39136739,18.10747528
-100.0362577,48.39136739,18.39588547
-99.86637547,48.39136739,18.76825142
-99.69649325,48.39136739,19.22463989
-99.52661104,48.39136739,20.05817604
-99.35672882,48.39136739,20.70115089
-99.1868466,48.39136739,21.39948654
-99.01696439,48.39136739,22.13733864
-98.84708217,48.39136739,22.89687157
-98.67719995,48.39136739,23.65951347
-98.50731774,48.39136739,24.77036476
-98.33743552,48.39136739,25.46609879
-98.1675533,48.39136739,26.11150551
-97.99767109,48.39136739,26.6979351
-97.82778887,48.39136739,27.2201004
-97.65790666,48.39136739,27.87876511
-97.48802444,48.39136739,28.23619461
-97.31814222,48.39136739,28.53184128
-97.14826001,48.39136739,28.77016258
-96.97837779,48.39136739,28.9563179
-96.80849557,48.39136739,29.1496582
-96.63861336,48.39136739,29.22912598
-96.46873114,48.39136739,29.27493095
-96.29884892,48.39136739,29.29162025
-96.12896671,48.39136739,29.35535812
